Adattábla|Kategória|Állapot|Gyártó|Darab
Sauer OMV 23 hydromotor 0004901|Axiáldugattyús hidromotor|Javított, tesztelt|Sauer Danfoss|1
" OMF 22-000-3901
           UC 75 193
/SMF/"|Axiáldugattyús hidromotor|Javított, tesztelt|Sauer Danfoss|1
"Model code: 51V110 – GC8N – G
1NN NNH6 NNN
055 NNF3 0000
Model No.: 511557
Serial No.: DO439 – 12879"|Axiáldugattyús hidromotor|Javított, tesztelt|Sauer Danfoss|1
"Fabr. Nr.: 2060040646
Type: BMV – 105 46"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Fabr. Nr.: 4125700947
Type: MF 105"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"BMF – 140
Fabr. Nr.: 217D090027"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Fabr. Nr.: 2160110207
Type: BMF – 105"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Linde MF 105
4128702 102"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"REXROTH
A2FM23/61 WXPB040
9411828  211.12.25.55
Fabr. Nr.: 5510292"|Axiáldugattyús hidromotor|Javított, tesztelt|Bosch Rexroth|1
"John Deere (Eaton)
AH 128575
0194002235
4631-041"|Axiáldugattyús hidromotor|Javított, tesztelt|John Deere (Eaton)|1
"Model Code: 51D110-AD3N
JANN CEK3 NNN
048 AAFO 1326
Serial No.: N032
048 655
Model Ident: 507 362"|Axiáldugattyús hidromotor|Javított, tesztelt|Sauer Danfoss|1
Linde  BMV-186-02   Fabr.Nr:H2X208R02603 KS 2553   |Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Sauer Sundstrand
Model Code: SMF2/070-B3Z-MS35352-A1
Ident Nr.: 000133
Serial No.: 8921
Fabr. Nr.: 82838
Hydromotor"|Axiáldugattyús hidromotor|Javított, tesztelt|Sauer Danfoss|1
" Typ:A2FM125/6.1 W-PAB 01 
Nr:211.22.25.41  Fabr.Nr:1802802 
Baujahr:06.86 Made in W.Germany"|Axiáldugattyús hidromotor|Használt, tesztelt|Bosch  Rexroth|1
"Typ:A2FM 125/6.1 W-PAB 01 
Nr: 211.22.25.41  
Fabr nr:1811908 
Baujahr:07.86"|Axiáldugattyús hidromotor|Használt, tesztelt|Rexroth|1
"Linde MF 105
Fabr No.: 412770236"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Linde HMF 105-02 2601
Serial No.: HYX 294D04535"|Axiáldugattyús hidromotor|Javított, tesztelt|Linde|1
"Model code: 42R28CG3AN52TNN
NF1A2828  N 11NNNN
NN  4282592
Model No.: 4282592
A – 98 – 16 – 19091"|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"Model code: 42R28DG3AN52TNN
NF  1B2828  N   11NNNN
NN  4282593
Model No.: 4282593
A- 98 – 16 – 19105"|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"Model code: 42R28CG3AN52TNN
NF1A2828 N 11NNNN
NN  4282592
Model No.: 4282592
A - 98 – 16 – 19088 "|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"SPV 20 
Model No.: SPV – 20 – 2028
Fabr. Nr.: 07 – MA45647"|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|1
"SPV 23
Without dataplate CW"|Axiáldugattyús szivattyú|Javított, tesztelt||1
SPV 23 057027100|Axiáldugattyús szivattyú|Javított, tesztelt|Saur Danfoss|1
SPV 24 without dataplate|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|1
SPV 23 without dataplate|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"EATON
Without dataplate 
PV 22 (CCW)"|Axiáldugattyús szivattyú|Javított, tesztelt|Eaton|1
"HRL 057
4577 274
A120120118 "|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"MPT 044 D 
Model code: MPT044 DAWSJAABAAA
BDDD RA FF BCAABDDDL
A FF A NNN***
Serial No.: A 073113935"|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"90L030 EA1B8
Model code: 90L030 EA1B8
S3C3 BO3 GBA
262 624
Model No.: 509153
N 961861080"|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|1
"Model No.: 90R055 ZFD NN64
17C6 CROUDA
454526 H001
Model No.: 506417
N981308758"|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|1
Model Code: 90R075 Fa6NN8D     P7C6 DB1 GMA 484830 E101 Model/Ident No:508 668 Serial No:N994031876|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|
LINDE HPR 100 without control block|Axiáldugattyús szivattyú|Javított, tesztelt|Linde|1
Hydromatic pump A4.125.DA.HV.1.R. 003 B0  Nr:233.2504.02|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch  Rexroth|1
 A7V250LV 5.1 Typ:RPFH 0-S Nr:803891 Fabr Nr:0830711 n:1000 1/min P:30kw P:350bar|Axiáldugattyús szivattyú|Javított, tesztelt|Rexroth|1
"REXROTH
ALA10V 063EK 1DS/53L-
VSD62N00P – S1038
CNR: 253523
MNR: R902444801
SN: 31258416"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch Rexroth|1
"  REXROTH
Typ.: A10V071 FHD/31
R – PSC 12K02 – S0 184
Teile Nr.: 940147
Fabr. Nr.: 0782171"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch Rexroth|1
"REXROTH
A10V045 DFR/31R-
PSC 62 N00 – S0413
MNR: R902434357
SN: 30178652"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch Rexroth|1
"REXROTH
Typ.: A7VO55 LRDH5/61R-PZB 01
Nr.: 256.20.1.2.17
Fabr.Nr.: 2719076"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch Rexroth|
"REXROTH
Typ.: A7V 107LV 2.OL ZF OO
Nr.: 226.25.00.79
Fabr.Nr.: 2089039"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch  Rexroth|1
"REXROTH
Typ.: A7V.78.LV.1.R.P.F.OO
Nr.: 226.25.22.40
Fabr. Nr.: 1200147"|Axiáldugattyús szivattyú|Javított, tesztelt|Bosch Rexroth |1
"Rexroth Typ.: A4VG90 DA1D8/3R – NZF02F 021SF
MNR: 2056050
CNR: 5364 662 345
SN: 22292737  7202
n: 2200 1/min
P: 71 Kw"|Axiáldugattyús szivattyú|Javított, tesztelt|Rexroth|1
KOMATSU 240 without dataplate, twin pump|Axiáldugattyús szivattyú|Javított, tesztelt|Komatsu|1
"Linde PV 105
Fabr. nr.: 4378701527"|Axiáldugattyús szivattyú|Használt, tesztelt|Linde|1
SPV23 000 29740 85 35 22 86 9|Axiáldugattyús szivattyú|Javított, tesztelt|Sauer Danfoss|1
"HYUNDAI
Part No.: 31N5 – 15011
Serial No.: 72F60137
Type: K5V80DT P1JHR – 9C05"|Axiáldugattyús szivattyú|Javított, tesztelt|Kawasaki|1
"Sauer Sundstrand
Model Code: SPV2/052-R3Z-
PS123-A1
Ident Nr.: 000075
Serial No.: 8935
Fabr Nr.: 03271
pump"|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
"Sauer Sundstrand
Model Code: SPV2/052-R3Z-
PS123-A1
Ident Nr.: 000075
Serial No.: 8935
Fabr Nr.: 03268
Pump"|Axiáldugattyús szivattyú|Új, tesztelt|Sauer Danfoss|1
" Typ:A4V56 HD 1.0 R 001 03A 
NR:233.19.35.21 
Fabr-Nr:1820297 
Baujahr:07.86 Made in  W.Germany"|Axiáldugattyús szivattyú|Új, tesztelt|Rexroth|1
" Typ:A4VS0250 LRDF/10L-PPB13 
NR:963607 Fabr-Nr:346451  
baujahr:10.85 Synthet.Flüss Made in W.Germany 
Mounted:Rexroth-sigma  471185/9 4183 1PF2G322/026LN07MHN 146425 100 
Made in France"|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
"Brueninghaus  Hydraulik
Typ:R1200 Nr:919551 N:1450MN-1 
Fabr-Nr:323612 P:--KWP:350 Bar Made in W.Germany"|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
"A2V.225.MA.GR.1.G 00.P/B.1 
NR:207.32.25.00 
Fabr.Nr:757210  Baujahr:3.77 
CW, other dataplate:
Nr:450.32.02.31 Fabr Nr:746815 Baujahr:3.77"|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
"Typ:A7V117 DR 2.0 L PF MF  
Nr: 226.28.24.36 
Fabr Nr:2013411 
CCW
Baujahr:03.87 "|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
"Typ:A4VSO250 LRDF/10L-PPB13  
Nr:963607 
Fabr Nr:346450  
CCW
Baujahr:10.85"|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
"LINDE HPR 105
Fabr.: 4221010060"|Axiáldugattyús szivattyú|Javított, tesztelt|Linde|1
"Linde pump
Fabr.: H2X515L01364
Type: BPV100-01R"|Axiáldugattyús szivattyú|Javított, tesztelt|Linde|1
"Linde MPR – 30
Fabr. Nr.: 5299040205"|Axiáldugattyús szivattyú|Javított, tesztelt|Linde|1
"Rexroth
TYP A2FO63 / 61L-PBB05
MNR 2021610
SN 21013352
FD 05W31 Manufatured: 2005.
Rotation CCW"|Axiáldugattyús szivattyú|Használt, tesztelt|Rexroth|1
Sauer Sundstrand CPRF 38-8 436821  99.9 89 39 02889|Betonkeverő hajtómű|Új, tesztelt|Sauer Danfoss|1
"   SNP2/19D
SC46RLP G/8F
SNP2/14 DFR 03/8E"|Fogaskerék szivattyú|Új, tesztelt|Sauer Danfoss|1
"SNP 2 / 11 D
SNP 2/11D
SC46
10DEC0429001
+
SNP 2/11
FR73
16AUG04 16024
+
SNP 2/8D
FR03 … 1
            01APR0509044"|Fogaskerék szivattyú|Új, tesztelt|Sauer Danfoss|1
"211.20.103.00 SNW2NN/019RNA6SM NNB7B5YYNN/NNNNN 09SEP13 00118
Made in Slovakia –
111.20.082.00 SNP2NN/014RN03CA P3B785NNNN/NNNNN 09SEP13 00458
Made in Slovakia"|Fogaskerék szivattyú|Új, tesztelt|Turolla / Sauer Danfoss|1
"Metaris
Mod.: M2520VQ21A11-
182AA-21
Serial: TVO83450023"|Lapátos szivattyú|Javított, tesztelt|Metaris|1
"Tosh / Rexroth
Typ.: 1PV2V3-30/40RA01MC100A1
No.: 89 0350"|Lapátos szivattyú|Új, tesztelt|Tosh/Rexroth|1
"OMV 400 + RR reductor unit i=4
Without dataplate, wheel motor"|Orbitmotor|Új, tesztelt|Sauer Danfoss|4
"ETS FAUCHEUX
28110 – LUCE
Type: 40226
No.: 2680"||Javított, tesztelt||1
